# idx case decode msg msg_out
0000 all_zero PASS 00000000000000000000000000000000 00000000000000000000000000000000
0001 all_one PASS ffffffffffffffffffffffffffffffff ffffffffffffffffffffffffffffffff
0002 repeat_aa PASS aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
0003 repeat_55 PASS 55555555555555555555555555555555 55555555555555555555555555555555
0004 repeat_33 PASS 33333333333333333333333333333333 33333333333333333333333333333333
0005 repeat_cc PASS cccccccccccccccccccccccccccccccc cccccccccccccccccccccccccccccccc
0006 repeat_0f PASS 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f
0007 repeat_f0 PASS f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0 f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
0008 ascending_bytes PASS 000102030405060708090a0b0c0d0e0f 000102030405060708090a0b0c0d0e0f
0009 descending_bytes PASS fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0 fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0
0010 odd_stride_bytes PASS 13385d82a7ccf1163b6085aacff4193e 13385d82a7ccf1163b6085aacff4193e
0011 magic_prefix PASS 0123456789abcdeffedcba9876543210 0123456789abcdeffedcba9876543210
0012 magic_suffix PASS deadbeefcafebabe5a5aa5a53cc3c33c deadbeefcafebabe5a5aa5a53cc3c33c
0013 low_half_one PASS 0000000000000000ffffffffffffffff 0000000000000000ffffffffffffffff
0014 high_half_one PASS ffffffffffffffff0000000000000000 ffffffffffffffff0000000000000000
0015 byte_00_ff PASS ff000000000000000000000000000000 ff000000000000000000000000000000
0016 byte_01_ff PASS 00ff0000000000000000000000000000 00ff0000000000000000000000000000
0017 byte_02_ff PASS 0000ff00000000000000000000000000 0000ff00000000000000000000000000
0018 byte_03_ff PASS 000000ff000000000000000000000000 000000ff000000000000000000000000
0019 byte_04_ff PASS 00000000ff0000000000000000000000 00000000ff0000000000000000000000
0020 byte_05_ff PASS 0000000000ff00000000000000000000 0000000000ff00000000000000000000
0021 byte_06_ff PASS 000000000000ff000000000000000000 000000000000ff000000000000000000
0022 byte_07_ff PASS 00000000000000ff0000000000000000 00000000000000ff0000000000000000
0023 byte_08_ff PASS 0000000000000000ff00000000000000 0000000000000000ff00000000000000
0024 byte_09_ff PASS 000000000000000000ff000000000000 000000000000000000ff000000000000
0025 byte_10_ff PASS 00000000000000000000ff0000000000 00000000000000000000ff0000000000
0026 byte_11_ff PASS 0000000000000000000000ff00000000 0000000000000000000000ff00000000
0027 byte_12_ff PASS 000000000000000000000000ff000000 000000000000000000000000ff000000
0028 byte_13_ff PASS 00000000000000000000000000ff0000 00000000000000000000000000ff0000
0029 byte_14_ff PASS 0000000000000000000000000000ff00 0000000000000000000000000000ff00
0030 byte_15_ff PASS 000000000000000000000000000000ff 000000000000000000000000000000ff
0031 walking1_bit_000 PASS 00000000000000000000000000000001 00000000000000000000000000000001
0032 walking1_bit_001 PASS 00000000000000000000000000000002 00000000000000000000000000000002
0033 walking1_bit_002 PASS 00000000000000000000000000000004 00000000000000000000000000000004
0034 walking1_bit_003 PASS 00000000000000000000000000000008 00000000000000000000000000000008
0035 walking1_bit_004 PASS 00000000000000000000000000000010 00000000000000000000000000000010
0036 walking1_bit_005 PASS 00000000000000000000000000000020 00000000000000000000000000000020
0037 walking1_bit_006 PASS 00000000000000000000000000000040 00000000000000000000000000000040
0038 walking1_bit_007 PASS 00000000000000000000000000000080 00000000000000000000000000000080
0039 walking1_bit_008 PASS 00000000000000000000000000000100 00000000000000000000000000000100
0040 walking1_bit_015 PASS 00000000000000000000000000008000 00000000000000000000000000008000
0041 walking1_bit_016 PASS 00000000000000000000000000010000 00000000000000000000000000010000
0042 walking1_bit_023 PASS 00000000000000000000000000800000 00000000000000000000000000800000
